vtkOriginalIndices,Py,Pz,Y,Z,__vtkIsSelected__
371,-2.99452e-021,1.69999e-020,-0.000923553,0.00265441,0
372,1.2134e-021,8.71141e-021,-0.00124238,0.00268144,0
373,-2.12391e-021,1.03046e-020,-0.00115295,0.00266785,0
374,-5.42615e-021,1.18811e-020,-0.00106352,0.00265426,0
375,1.75312e-021,1.13904e-020,-0.00117963,0.00275576,0
376,-1.43736e-021,1.28988e-020,-0.0010902,0.00274217,0
377,2.40197e-021,1.41099e-020,-0.00111688,0.00283007,0
378,2.91053e-022,1.01545e-020,-0.00119165,0.00270168,0
379,-2.82899e-021,1.1639e-020,-0.00110223,0.00268809,0
380,8.88854e-022,1.27888e-020,-0.0011289,0.002776,0
381,4.72029e-021,7.51032e-021,-0.00128183,0.00271502,0
382,5.10404e-021,1.02799e-020,-0.00121908,0.00278933,0
383,5.85582e-021,1.30056e-020,-0.00115633,0.00286365,0
384,1.218e-020,5.43894e-021,-0.00131075,0.00280215,0
385,1.22425e-020,8.39194e-021,-0.001248,0.00287646,0
386,2.01112e-020,3.23949e-021,-0.00133967,0.00288928,0
387,6.90751e-021,7.91958e-021,-0.00127055,0.00276883,0
388,7.69879e-021,1.05604e-020,-0.0012078,0.00284315,0
389,1.40531e-020,5.96694e-021,-0.00129947,0.00285596,0
390,7.15862e-021,1.71487e-020,-0.00105198,0.00290284,0
391,7.0784e-021,2.05715e-020,-0.000960439,0.00288492,0
392,6.99863e-021,2.39485e-020,-0.000868902,0.00286701,0
393,1.53386e-020,1.64284e-020,-0.000984889,0.00297683,0
394,1.52129e-020,1.95515e-020,-0.000893351,0.00295891,0
395,2.48994e-020,1.65342e-020,-0.000917801,0.00305081,0
396,9.18201e-021,1.73845e-020,-0.000999102,0.00292153,0
397,9.09434e-021,2.04416e-020,-0.000907564,0.00290361,0
398,1.84279e-020,1.75182e-020,-0.000932014,0.00299552,0
399,7.81067e-021,1.53889e-020,-0.00109217,0.00293761,0
400,1.56831e-020,1.46476e-020,-0.00102508,0.0030116,0
401,2.53528e-020,1.47072e-020,-0.000957995,0.00308559,0
402,9.31655e-021,1.27185e-020,-0.00112121,0.00302401,0
403,1.72467e-020,1.22949e-020,-0.00105413,0.00309799,0
404,1.08936e-020,9.89086e-021,-0.00115026,0.0031104,0
405,9.93568e-021,1.38508e-020,-0.00107949,0.00299107,0
406,1.94025e-020,1.38917e-020,-0.0010124,0.00306506,0
407,1.13332e-020,1.14935e-020,-0.00110853,0.00307747,0
408,2.25542e-021,2.24902e-020,-0.000882372,0.00281304,0
409,2.2994e-021,1.95455e-020,-0.00097391,0.00283096,0
410,2.42317e-021,1.67157e-020,-0.00106545,0.00284887,0
411,-1.53776e-021,1.8164e-020,-0.000947234,0.00274305,0
412,-1.55234e-021,1.5387e-020,-0.00103877,0.00276097,0
